accuracy,auc,dp_age,eo_age,dp_sex,eo_sex,fold,model
0.785,0.7892857142857143,0.041471330688784724,0.0477564943584361,0.09273182957393478,0.09445921079533837,1,Logistic Regression
0.735,0.7483333333333334,0.08946219997432936,0.12962414915655518,0.03473125813231903,0.019607843137254832,2,Logistic Regression
0.735,0.7779761904761905,0.0066041014946124355,0.079059829059829,0.033333333333333326,0.07142857142857151,3,Logistic Regression
0.78,0.8042857142857144,0.10846189808321649,0.08187134502923976,0.1166666666666667,0.09006017846026138,4,Logistic Regression
0.78,0.7954761904761906,0.005263850506645684,0.04999999999999993,0.029424127784783538,0.013986013986014068,5,Logistic Regression
0.765,0.814047619047619,0.017670393076090862,0.06035161374967202,0.0736842105263158,0.05111429155591907,1,Random Forest
0.745,0.7572619047619046,0.11667308432807089,0.11571470849363719,0.015914322890601573,0.006535947712418277,2,Random Forest
0.75,0.7723809523809524,0.016452323021666104,0.07799145299145294,0.012500000000000067,0.05357142857142849,3,Random Forest
0.775,0.8280952380952382,0.08438522674146798,0.08421052631578951,0.033333333333333326,0.01494085909939813,4,Random Forest
0.76,0.7842857142857144,0.05737597052243726,0.08499999999999996,0.021857923497267784,0.01660839160839156,5,Random Forest
0.78,0.8035714285714285,0.024522178146411888,0.0477564943584361,0.02205513784461155,0.008587200981394316,1,XGBoost
0.755,0.7505952380952381,0.1649338980875369,0.17105652559928974,0.0065058552697427885,0.008986928104575131,2,XGBoost
0.735,0.7571428571428571,0.05897346773259182,0.09829059829059827,0.025000000000000022,0.06547619047619047,3,XGBoost
0.76,0.8079761904761905,0.07620383356708749,0.08070175438596494,0.09166666666666667,0.06993152106246114,4,XGBoost
0.79,0.8171428571428572,0.03210948809053826,0.025000000000000022,0.03867171080285836,0.005244755244755206,5,XGBoost
